[LOAD] No existing SBERT features found in data/sbert_depth1. Computing from scratch...               
-> data/toys_games.json.gz already exists. Skipping download.                                         
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable highe
r rate limits and faster downloads.                                                                   
Loading weights: 100%|████████████████████████████████████████████| 103/103 [00:00<00:00, 3744.49it/s]
                                                                                                      
[ENCODE] SBERT encoding 317329 documents...                                                           
Batches: 100%|████████████████████████████████████████████████████| 1240/1240 [04:28<00:00,  4.61it/s]
[ENCODE] SBERT done in 270.75s -> matrix (317329, 384)                                                
                                                                                                      
[SAVE] SBERT matrix: (317329, 384) -> data/sbert_depth1                                               
[SAVE] Split indices: train=222130, test=95199 -> data/sbert_depth1                                   
                                                                                                      
[LOAD] Loading split indices from data/sbert_depth1                                                   
                                                                                                      
[TRAINING] Starting MLP training on SBERT features using device: cuda                                 
                                                                                                      
[DATA INFO] 18 classes.                                                                               
['Action Figures & Statues' 'Arts & Crafts' 'Baby & Toddler Toys'                                     
 'Building Toys' 'Dolls & Accessories' 'Dress Up & Pretend Play'                                      
 'Electronics for Kids' 'Games' 'Grown-Up Toys' 'Hobbies'                                             
 'Learning & Education' 'Novelty & Gag Toys' 'Party Supplies' 'Puzzles'                               
 'Sports & Outdoor Play' 'Stuffed Animals & Plush'                                                    
 'Toy Remote Control & Play Vehicles' 'Tricycles, Scooters & Wagons']                                 
                                                                                                      
[DATA SPLIT] Train: 222130 samples, Val: 47599 samples, Test: 47600 samples 
[EPOCH 61] train_loss=1.0366 val_loss=0.9825 val_acc=0.7200 epoch_time=0.04s total=2.17s *            
[EPOCH 62] train_loss=1.0350 val_loss=0.9806 val_acc=0.7198 epoch_time=0.04s total=2.20s *            
[EPOCH 63] train_loss=1.0344 val_loss=0.9790 val_acc=0.7203 epoch_time=0.04s total=2.24s *            
[EPOCH 64] train_loss=1.0320 val_loss=0.9773 val_acc=0.7208 epoch_time=0.04s total=2.27s *            
[EPOCH 65] train_loss=1.0299 val_loss=0.9757 val_acc=0.7214 epoch_time=0.04s total=2.31s *            
[EPOCH 66] train_loss=1.0284 val_loss=0.9740 val_acc=0.7214 epoch_time=0.04s total=2.35s *            
[EPOCH 67] train_loss=1.0257 val_loss=0.9725 val_acc=0.7217 epoch_time=0.04s total=2.38s *            
[EPOCH 68] train_loss=1.0233 val_loss=0.9710 val_acc=0.7218 epoch_time=0.04s total=2.42s *            
[EPOCH 69] train_loss=1.0226 val_loss=0.9694 val_acc=0.7229 epoch_time=0.04s total=2.45s *            
[EPOCH 70] train_loss=1.0224 val_loss=0.9687 val_acc=0.7226 epoch_time=0.04s total=2.49s *            
[EPOCH 71] train_loss=1.0203 val_loss=0.9677 val_acc=0.7231 epoch_time=0.04s total=2.52s *
[EPOCH 72] train_loss=1.0197 val_loss=0.9664 val_acc=0.7234 epoch_time=0.04s total=2.56s *            
[EPOCH 73] train_loss=1.0179 val_loss=0.9650 val_acc=0.7237 epoch_time=0.04s total=2.59s *            
[EPOCH 74] train_loss=1.0164 val_loss=0.9638 val_acc=0.7237 epoch_time=0.04s total=2.63s *            
[EPOCH 75] train_loss=1.0151 val_loss=0.9631 val_acc=0.7239 epoch_time=0.04s total=2.66s *            
[EPOCH 76] train_loss=1.0146 val_loss=0.9619 val_acc=0.7241 epoch_time=0.04s total=2.70s *            
[EPOCH 77] train_loss=1.0132 val_loss=0.9608 val_acc=0.7245 epoch_time=0.04s total=2.74s *            
[EPOCH 78] train_loss=1.0129 val_loss=0.9602 val_acc=0.7249 epoch_time=0.04s total=2.77s *            
[EPOCH 79] train_loss=1.0114 val_loss=0.9597 val_acc=0.7250 epoch_time=0.04s total=2.81s *            
[EPOCH 80] train_loss=1.0107 val_loss=0.9588 val_acc=0.7252 epoch_time=0.04s total=2.84s *            
[EPOCH 81] train_loss=1.0085 val_loss=0.9576 val_acc=0.7252 epoch_time=0.04s total=2.88s *            
[EPOCH 82] train_loss=1.0087 val_loss=0.9568 val_acc=0.7251 epoch_time=0.04s total=2.91s *            
[EPOCH 83] train_loss=1.0082 val_loss=0.9564 val_acc=0.7251 epoch_time=0.04s total=2.95s *            
[EPOCH 84] train_loss=1.0077 val_loss=0.9560 val_acc=0.7256 epoch_time=0.04s total=2.98s *            
[EPOCH 85] train_loss=1.0067 val_loss=0.9555 val_acc=0.7260 epoch_time=0.04s total=3.02s *            
[EPOCH 86] train_loss=1.0073 val_loss=0.9548 val_acc=0.7257 epoch_time=0.04s total=3.06s *            
[EPOCH 87] train_loss=1.0035 val_loss=0.9538 val_acc=0.7261 epoch_time=0.04s total=3.09s *            
[EPOCH 88] train_loss=1.0038 val_loss=0.9529 val_acc=0.7262 epoch_time=0.04s total=3.13s *            
[EPOCH 89] train_loss=1.0028 val_loss=0.9522 val_acc=0.7268 epoch_time=0.04s total=3.16s *            
[EPOCH 90] train_loss=1.0016 val_loss=0.9516 val_acc=0.7263 epoch_time=0.04s total=3.20s *            
[EPOCH 91] train_loss=1.0015 val_loss=0.9509 val_acc=0.7267 epoch_time=0.04s total=3.23s *            
[EPOCH 92] train_loss=0.9996 val_loss=0.9503 val_acc=0.7265 epoch_time=0.04s total=3.27s *            
[EPOCH 93] train_loss=1.0003 val_loss=0.9496 val_acc=0.7271 epoch_time=0.04s total=3.31s *            
[EPOCH 94] train_loss=1.0004 val_loss=0.9493 val_acc=0.7273 epoch_time=0.04s total=3.34s *            
[EPOCH 95] train_loss=0.9987 val_loss=0.9490 val_acc=0.7271 epoch_time=0.04s total=3.38s *            
[EPOCH 96] train_loss=0.9973 val_loss=0.9482 val_acc=0.7277 epoch_time=0.04s total=3.41s *            
[EPOCH 97] train_loss=0.9971 val_loss=0.9474 val_acc=0.7278 epoch_time=0.04s total=3.45s *            
[EPOCH 98] train_loss=0.9960 val_loss=0.9467 val_acc=0.7277 epoch_time=0.04s total=3.48s *            
[EPOCH 99] train_loss=0.9965 val_loss=0.9465 val_acc=0.7282 epoch_time=0.04s total=3.52s *            
[EPOCH 100] train_loss=0.9965 val_loss=0.9461 val_acc=0.7282 epoch_time=0.04s total=3.55s *           
[EPOCH 101] train_loss=0.9952 val_loss=0.9454 val_acc=0.7283 epoch_time=0.04s total=3.59s *           
[EPOCH 102] train_loss=0.9942 val_loss=0.9451 val_acc=0.7282 epoch_time=0.04s total=3.63s *           
[EPOCH 103] train_loss=0.9946 val_loss=0.9451 val_acc=0.7281 epoch_time=0.04s total=3.66s             
[EPOCH 104] train_loss=0.9932 val_loss=0.9446 val_acc=0.7282 epoch_time=0.04s total=3.70s *           
[EPOCH 105] train_loss=0.9925 val_loss=0.9442 val_acc=0.7284 epoch_time=0.04s total=3.73s *           
[EPOCH 106] train_loss=0.9927 val_loss=0.9437 val_acc=0.7284 epoch_time=0.04s total=3.77s *           
[EPOCH 107] train_loss=0.9931 val_loss=0.9434 val_acc=0.7287 epoch_time=0.04s total=3.80s *           
[EPOCH 108] train_loss=0.9921 val_loss=0.9432 val_acc=0.7283 epoch_time=0.04s total=3.84s *           
[EPOCH 109] train_loss=0.9910 val_loss=0.9428 val_acc=0.7286 epoch_time=0.04s total=3.87s *           
[EPOCH 110] train_loss=0.9901 val_loss=0.9423 val_acc=0.7286 epoch_time=0.04s total=3.91s *           
[EPOCH 111] train_loss=0.9900 val_loss=0.9418 val_acc=0.7284 epoch_time=0.04s total=3.94s *           
[EPOCH 112] train_loss=0.9901 val_loss=0.9417 val_acc=0.7288 epoch_time=0.04s total=3.98s             
[EPOCH 113] train_loss=0.9894 val_loss=0.9417 val_acc=0.7285 epoch_time=0.04s total=4.02s  
[EPOCH 114] train_loss=0.9894 val_loss=0.9414 val_acc=0.7289 epoch_time=0.03s total=4.05s *           
[EPOCH 115] train_loss=0.9891 val_loss=0.9410 val_acc=0.7291 epoch_time=0.04s total=4.09s *           
[EPOCH 116] train_loss=0.9894 val_loss=0.9408 val_acc=0.7291 epoch_time=0.04s total=4.12s *           
[EPOCH 117] train_loss=0.9882 val_loss=0.9404 val_acc=0.7292 epoch_time=0.04s total=4.16s *           
[EPOCH 118] train_loss=0.9863 val_loss=0.9399 val_acc=0.7293 epoch_time=0.04s total=4.19s *           
[EPOCH 119] train_loss=0.9868 val_loss=0.9395 val_acc=0.7293 epoch_time=0.04s total=4.23s *           
