[LOAD] No existing TF-IDF features found in data/tfidf_depth1. Computing from scratch...              
-> data/toys_games.json.gz already exists. Skipping download.                                         
                                                                                                      
[ENCODE] TF-IDF encoding 317329 documents...                                                          
[ENCODE] TF-IDF done in 15.61s -> matrix (317329, 5000)                                               
                                                                                                      
[SAVE] TF-IDF matrix: (317329, 5000) -> data/tfidf_depth1                                             
[SAVE] Split indices: train=222130, test=95199 -> data/tfidf_depth1                                   
                                                                                                      
[LOAD] Loading split indices from data/tfidf_depth1                                                   
                                                                                                      
[TRAINING] Starting MLP training on TF-IDF features using device: cuda                                
                                                                                                      
[DATA INFO] 18 classes.                                                                               
['Action Figures & Statues' 'Arts & Crafts' 'Baby & Toddler Toys'                                     
 'Building Toys' 'Dolls & Accessories' 'Dress Up & Pretend Play'                                      
 'Electronics for Kids' 'Games' 'Grown-Up Toys' 'Hobbies'                                             
 'Learning & Education' 'Novelty & Gag Toys' 'Party Supplies' 'Puzzles'                               
 'Sports & Outdoor Play' 'Stuffed Animals & Plush'                                                    
 'Toy Remote Control & Play Vehicles' 'Tricycles, Scooters & Wagons']                                 
                                                                                                      
[EPOCH 62] train_loss=1.1324 val_loss=1.0974 val_acc=0.6992 epoch_time=0.03s total=2.80s *            
[EPOCH 63] train_loss=1.1316 val_loss=1.0960 val_acc=0.6993 epoch_time=0.03s total=2.83s *            
[EPOCH 64] train_loss=1.1301 val_loss=1.0948 val_acc=0.6997 epoch_time=0.03s total=2.86s *            
[EPOCH 65] train_loss=1.1287 val_loss=1.0937 val_acc=0.7001 epoch_time=0.03s total=2.89s *            
[EPOCH 66] train_loss=1.1282 val_loss=1.0927 val_acc=0.7006 epoch_time=0.03s total=2.92s *            
[EPOCH 67] train_loss=1.1274 val_loss=1.0918 val_acc=0.7006 epoch_time=0.03s total=2.95s *            
[EPOCH 68] train_loss=1.1266 val_loss=1.0911 val_acc=0.7007 epoch_time=0.03s total=2.98s *            
[EPOCH 69] train_loss=1.1253 val_loss=1.0904 val_acc=0.7007 epoch_time=0.03s total=3.01s *            
[EPOCH 70] train_loss=1.1250 val_loss=1.0898 val_acc=0.7012 epoch_time=0.03s total=3.04s *            
[EPOCH 71] train_loss=1.1239 val_loss=1.0892 val_acc=0.7016 epoch_time=0.03s total=3.07s *            
[EPOCH 72] train_loss=1.1235 val_loss=1.0887 val_acc=0.7016 epoch_time=0.03s total=3.10s *            
[EPOCH 73] train_loss=1.1241 val_loss=1.0882 val_acc=0.7015 epoch_time=0.03s total=3.13s *            
[EPOCH 74] train_loss=1.1222 val_loss=1.0877 val_acc=0.7014 epoch_time=0.03s total=3.16s *            
[EPOCH 75] train_loss=1.1214 val_loss=1.0873 val_acc=0.7014 epoch_time=0.03s total=3.19s *            
[EPOCH 76] train_loss=1.1217 val_loss=1.0869 val_acc=0.7015 epoch_time=0.03s total=3.22s *            
[EPOCH 77] train_loss=1.1218 val_loss=1.0865 val_acc=0.7016 epoch_time=0.03s total=3.25s *            
[EPOCH 78] train_loss=1.1209 val_loss=1.0862 val_acc=0.7015 epoch_time=0.03s total=3.28s *            
[EPOCH 79] train_loss=1.1202 val_loss=1.0859 val_acc=0.7016 epoch_time=0.03s total=3.31s *            
[EPOCH 80] train_loss=1.1208 val_loss=1.0856 val_acc=0.7014 epoch_time=0.03s total=3.34s *            
[EPOCH 81] train_loss=1.1203 val_loss=1.0852 val_acc=0.7015 epoch_time=0.03s total=3.37s *            
[EPOCH 82] train_loss=1.1196 val_loss=1.0850 val_acc=0.7016 epoch_time=0.03s total=3.40s *            
[EPOCH 83] train_loss=1.1200 val_loss=1.0847 val_acc=0.7018 epoch_time=0.03s total=3.43s *            
[EPOCH 84] train_loss=1.1186 val_loss=1.0845 val_acc=0.7018 epoch_time=0.03s total=3.46s *            
[EPOCH 85] train_loss=1.1189 val_loss=1.0843 val_acc=0.7020 epoch_time=0.03s total=3.49s *            
[EPOCH 86] train_loss=1.1189 val_loss=1.0841 val_acc=0.7019 epoch_time=0.03s total=3.52s *            
[EPOCH 87] train_loss=1.1192 val_loss=1.0839 val_acc=0.7021 epoch_time=0.03s total=3.55s *            
[EPOCH 88] train_loss=1.1180 val_loss=1.0837 val_acc=0.7019 epoch_time=0.03s total=3.58s *            
[EPOCH 89] train_loss=1.1178 val_loss=1.0835 val_acc=0.7019 epoch_time=0.03s total=3.61s *            
