[LOAD] No existing BOW features found in data/bow_depth1. Computing from scratch...                   
-> data/toys_games.json.gz already exists. Skipping download.                                         
                                                                                                      
[ENCODE] BOW encoding 317329 documents...                                                             
[ENCODE] BOW done in 15.53s -> matrix (317329, 5000)                                                  
                                                                                                      
[SAVE] BOW matrix: (317329, 5000) -> data/bow_depth1                                                  
[SAVE] Split indices: train=222130, test=95199 -> data/bow_depth1                                     
                                                                                                      
[LOAD] Loading split indices from data/bow_depth1                                                     
                                                                                                      
[TRAINING] Starting MLP training on BOW features using device: cuda                                   
                                                                                                      
[DATA INFO] 18 classes.                                                                               
['Action Figures & Statues' 'Arts & Crafts' 'Baby & Toddler Toys'                                     
 'Building Toys' 'Dolls & Accessories' 'Dress Up & Pretend Play'                                      
 'Electronics for Kids' 'Games' 'Grown-Up Toys' 'Hobbies'                                             
 'Learning & Education' 'Novelty & Gag Toys' 'Party Supplies' 'Puzzles'                               
 'Sports & Outdoor Play' 'Stuffed Animals & Plush'                                                    
 'Toy Remote Control & Play Vehicles' 'Tricycles, Scooters & Wagons']                                 
                                                                                                      
[EPOCH 71] train_loss=1.0873 val_loss=1.0503 val_acc=0.7017 epoch_time=0.03s total=2.14s *            
[EPOCH 72] train_loss=1.0869 val_loss=1.0494 val_acc=0.7018 epoch_time=0.03s total=2.17s *            
[EPOCH 73] train_loss=1.0850 val_loss=1.0485 val_acc=0.7023 epoch_time=0.03s total=2.20s *            
[EPOCH 74] train_loss=1.0841 val_loss=1.0475 val_acc=0.7023 epoch_time=0.03s total=2.23s *            
[EPOCH 75] train_loss=1.0846 val_loss=1.0467 val_acc=0.7025 epoch_time=0.03s total=2.26s *            
[EPOCH 76] train_loss=1.0826 val_loss=1.0459 val_acc=0.7026 epoch_time=0.03s total=2.29s *            
[EPOCH 77] train_loss=1.0803 val_loss=1.0452 val_acc=0.7030 epoch_time=0.03s total=2.32s *            
[EPOCH 78] train_loss=1.0805 val_loss=1.0445 val_acc=0.7029 epoch_time=0.03s total=2.35s *            
[EPOCH 79] train_loss=1.0793 val_loss=1.0436 val_acc=0.7029 epoch_time=0.03s total=2.38s *            
[EPOCH 80] train_loss=1.0799 val_loss=1.0427 val_acc=0.7030 epoch_time=0.03s total=2.41s *            
[EPOCH 81] train_loss=1.0787 val_loss=1.0418 val_acc=0.7033 epoch_time=0.03s total=2.44s *            
[EPOCH 82] train_loss=1.0758 val_loss=1.0410 val_acc=0.7034 epoch_time=0.03s total=2.47s *            
[EPOCH 83] train_loss=1.0771 val_loss=1.0403 val_acc=0.7037 epoch_time=0.03s total=2.50s *            
[EPOCH 84] train_loss=1.0752 val_loss=1.0397 val_acc=0.7040 epoch_time=0.03s total=2.53s *            
[EPOCH 85] train_loss=1.0745 val_loss=1.0390 val_acc=0.7040 epoch_time=0.03s total=2.56s *            
[EPOCH 86] train_loss=1.0738 val_loss=1.0383 val_acc=0.7043 epoch_time=0.03s total=2.59s *            
[EPOCH 87] train_loss=1.0720 val_loss=1.0377 val_acc=0.7040 epoch_time=0.03s total=2.61s *            
[EPOCH 88] train_loss=1.0724 val_loss=1.0370 val_acc=0.7042 epoch_time=0.03s total=2.64s *            
[EPOCH 89] train_loss=1.0720 val_loss=1.0362 val_acc=0.7046 epoch_time=0.03s total=2.67s *            
[EPOCH 90] train_loss=1.0709 val_loss=1.0353 val_acc=0.7050 epoch_time=0.03s total=2.70s *            
[EPOCH 91] train_loss=1.0705 val_loss=1.0345 val_acc=0.7055 epoch_time=0.03s total=2.73s *            
[EPOCH 92] train_loss=1.0687 val_loss=1.0340 val_acc=0.7055 epoch_time=0.03s total=2.76s *            
[EPOCH 93] train_loss=1.0691 val_loss=1.0334 val_acc=0.7055 epoch_time=0.03s total=2.79s *            
[EPOCH 94] train_loss=1.0684 val_loss=1.0328 val_acc=0.7057 epoch_time=0.03s total=2.82s *            
[EPOCH 95] train_loss=1.0672 val_loss=1.0324 val_acc=0.7057 epoch_time=0.03s total=2.85s *  
[EPOCH 96] train_loss=1.0672 val_loss=1.0319 val_acc=0.7055 epoch_time=0.03s total=2.88s *            
[EPOCH 97] train_loss=1.0656 val_loss=1.0313 val_acc=0.7058 epoch_time=0.03s total=2.91s *            
[EPOCH 98] train_loss=1.0653 val_loss=1.0309 val_acc=0.7057 epoch_time=0.03s total=2.94s *            
[EPOCH 99] train_loss=1.0661 val_loss=1.0302 val_acc=0.7058 epoch_time=0.03s total=2.97s *            
[EPOCH 100] train_loss=1.0637 val_loss=1.0299 val_acc=0.7059 epoch_time=0.03s total=3.00s *           
[EPOCH 101] train_loss=1.0641 val_loss=1.0296 val_acc=0.7058 epoch_time=0.03s total=3.03s *           
[EPOCH 102] train_loss=1.0634 val_loss=1.0292 val_acc=0.7061 epoch_time=0.03s total=3.06s *           
[EPOCH 103] train_loss=1.0632 val_loss=1.0288 val_acc=0.7062 epoch_time=0.03s total=3.09s *           
[EPOCH 104] train_loss=1.0641 val_loss=1.0283 val_acc=0.7065 epoch_time=0.03s total=3.12s *           
[EPOCH 105] train_loss=1.0625 val_loss=1.0278 val_acc=0.7066 epoch_time=0.03s total=3.15s *           
[EPOCH 106] train_loss=1.0630 val_loss=1.0273 val_acc=0.7068 epoch_time=0.03s total=3.18s *           
[EPOCH 107] train_loss=1.0613 val_loss=1.0268 val_acc=0.7067 epoch_time=0.03s total=3.21s *           
[EPOCH 108] train_loss=1.0610 val_loss=1.0263 val_acc=0.7069 epoch_time=0.03s total=3.24s *           
[EPOCH 109] train_loss=1.0603 val_loss=1.0259 val_acc=0.7068 epoch_time=0.03s total=3.27s *           
[EPOCH 110] train_loss=1.0610 val_loss=1.0256 val_acc=0.7070 epoch_time=0.03s total=3.30s *           
[EPOCH 111] train_loss=1.0592 val_loss=1.0252 val_acc=0.7069 epoch_time=0.03s total=3.33s *           
[EPOCH 112] train_loss=1.0594 val_loss=1.0246 val_acc=0.7072 epoch_time=0.03s total=3.36s *           
[EPOCH 113] train_loss=1.0597 val_loss=1.0242 val_acc=0.7075 epoch_time=0.03s total=3.39s *           
[EPOCH 114] train_loss=1.0576 val_loss=1.0238 val_acc=0.7076 epoch_time=0.03s total=3.42s *           
[EPOCH 115] train_loss=1.0570 val_loss=1.0234 val_acc=0.7079 epoch_time=0.03s total=3.45s *           
[EPOCH 116] train_loss=1.0577 val_loss=1.0230 val_acc=0.7080 epoch_time=0.03s total=3.48s *           
[EPOCH 117] train_loss=1.0576 val_loss=1.0227 val_acc=0.7082 epoch_time=0.03s total=3.51s *           
[EPOCH 118] train_loss=1.0566 val_loss=1.0225 val_acc=0.7085 epoch_time=0.03s total=3.54s *           
[EPOCH 119] train_loss=1.0577 val_loss=1.0221 val_acc=0.7087 epoch_time=0.03s total=3.57s *           
[EPOCH 120] train_loss=1.0554 val_loss=1.0215 val_acc=0.7087 epoch_time=0.03s total=3.60s *           
[EPOCH 121] train_loss=1.0549 val_loss=1.0211 val_acc=0.7087 epoch_time=0.03s total=3.63s *           
[EPOCH 122] train_loss=1.0557 val_loss=1.0207 val_acc=0.7087 epoch_time=0.03s total=3.66s *           
[EPOCH 123] train_loss=1.0553 val_loss=1.0203 val_acc=0.7087 epoch_time=0.03s total=3.69s *           
[EPOCH 124] train_loss=1.0537 val_loss=1.0199 val_acc=0.7089 epoch_time=0.03s total=3.72s *           
[EPOCH 125] train_loss=1.0541 val_loss=1.0196 val_acc=0.7090 epoch_time=0.03s total=3.75s *           
[EPOCH 126] train_loss=1.0533 val_loss=1.0193 val_acc=0.7090 epoch_time=0.03s total=3.78s *           
[EPOCH 127] train_loss=1.0535 val_loss=1.0191 val_acc=0.7093 epoch_time=0.03s total=3.81s *           
[EPOCH 128] train_loss=1.0526 val_loss=1.0189 val_acc=0.7095 epoch_time=0.03s total=3.84s *           
[EPOCH 129] train_loss=1.0546 val_loss=1.0188 val_acc=0.7094 epoch_time=0.03s total=3.87s             
[EPOCH 130] train_loss=1.0529 val_loss=1.0187 val_acc=0.7089 epoch_time=0.03s total=3.90s *           
[EPOCH 131] train_loss=1.0520 val_loss=1.0187 val_acc=0.7092 epoch_time=0.03s total=3.93s             
[EPOCH 132] train_loss=1.0511 val_loss=1.0186 val_acc=0.7092 epoch_time=0.03s total=3.96s *           
[EPOCH 133] train_loss=1.0512 val_loss=1.0184 val_acc=0.7094 epoch_time=0.03s total=3.99s *           
[EPOCH 134] train_loss=1.0509 val_loss=1.0184 val_acc=0.7097 epoch_time=0.03s total=4.02s             
